metric,A_value,B_value,delta_abs,delta_pct
avg_price_eur_mwh,113.03863384321008,92.621397659132,-20.417236184078078,-18.06217528460026
median_price_eur_mwh,108.62802189473683,104.21153846153845,-4.41648343319838,-4.065694427795122
price_std_eur_mwh,205.03381972126286,40.188815179881,-164.84500454138185,-80.39893358348567
scarcity_hours,8.0,0.0,-8.0,-100.0
unserved_energy_mwh,32184.545462675433,0.0,-32184.545462675433,-100.0
ccgt_capacity_factor,0.6298257153426386,0.5623001276371117,-0.06752558770552697,-10.721313223737079
ccgt_full_load_hours,5517.273266401515,4925.749118101098,-591.5241483004165,-10.721313223737084
ccgt_new_gen_twh,0.0,61.011261900710956,61.011261900710956,
ccgt_new_full_load_hours,0.0,6101.126190071095,6101.126190071095,
ocgt_capacity_factor,0.1651603052040596,0.08088835788122585,-0.08427194732283376,-51.0243349445944
ocgt_full_load_hours,1446.8042735875622,708.5820150395384,-738.2222585480238,-51.02433494459441
curtailment_twh,10.632283059589982,10.632283059589982,0.0,0.0
curtailment_pct,2.4863872665790328,2.4863872665790328,0.0,0.0
renewable_share_pct,72.40948058622558,71.78806911793588,-0.6214114682897076,-0.8581907552143364
total_system_cost_meur,26750.146991560272,25801.16479005048,-948.9822015097925,-3.5475775210102523
total_system_cost_excl_voll_meur,26653.593355172245,25801.16479005048,-852.4285651217651,-3.198175021891927
net_import_twh,7.104933081935912,1.5686171951991505,-5.5363158867367614,-77.92213977092459
co2_emissions_mt,101.27412344149177,88.74549913294365,-12.528624308548117,-12.371002466179005
total_generation_twh,676.7423794180011,682.2393174835422,5.496938065541144,0.8122644942479463
consumer_energy_cost_meur,74926.1576827452,62570.48626706101,-12355.671415684184,-16.4904644757055
